,AvgPriceperBottle,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales,Zip Code
99,14.0429116685,4.69317339149,15.4802542451,0.491615019815,8047,92670.22,50325
100,15.9620325203,5.3481300813,11.0755953027,0.978608281588,1849,25512.08,50327
101,14.8469118718,4.95990531682,12.9879350425,0.489694597669,39056,477804.83,50401
102,14.7720994475,4.93806629834,10.9452625853,0.638441156048,1796,22133.51,50421
103,13.466433121,4.51171974522,9.92841121495,0.71717634913,1227,14341.59,50423
104,13.9160264901,4.65986754967,11.8438541382,0.775748766601,719,8672.07,50424
105,16.0762074148,5.37154308617,13.6817130525,0.845904005537,14179,201719.62,50428
106,14.7676666667,4.95933333333,11.3131107206,0.948692072237,211,3218.58,50430
107,15.5081060606,5.18446969697,15.3162557561,0.901168311338,1394,21420.09,50435
108,15.4201346801,5.15094276094,11.9432011014,0.984111058606,5469,70874.18,50436
109,13.3935795455,4.48590909091,10.2758061534,0.581565622874,1865,19454.67,50438
110,15.0353811659,5.02813153961,12.6706867736,0.808941906444,4152,52992.74,50441
111,13.4020873786,4.4813592233,12.2010709794,0.703042555004,1437,15812.71,50450
112,14.16875,4.74625,8.43587628866,0.964624029739,90,1227.42,50452
113,10.37625,3.46,12.2632457748,0.611372975447,401,3011.24,50456
114,12.0634090909,4.03022727273,13.9223966394,0.836938937447,404,4407.97,50458
115,14.0363688761,4.69331412104,11.5327189248,0.885753678784,2456,34537.61,50459
116,13.584835443,4.54350632911,11.4273801432,0.732968563808,2640,30764.45,50461
117,13.9806060606,4.66151515152,11.0629069767,0.845666559906,219,2854.23,50466
118,12.8291925466,4.30248447205,11.965735847,0.744494447047,670,8625.74,50469
119,18.2043315508,6.07844919786,11.6035067174,0.637574298323,1327,17835.17,50472
120,10.7185185185,3.58703703704,11.7962303665,0.840557321156,364,3379.62,50475
121,18.4165,6.15621428571,13.7302391796,0.770469277396,1495,23243.51,50483
