,AvgPriceperBottle,City,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales
96,16.2674594595,DUNLAP,5.42902702703,14.8678186802,0.608507099594,1021,15185.99
97,12.4669230769,DURANT,4.16441295547,11.585001045,0.695343145685,833,8868.55
98,14.0916446125,DYERSVILLE,4.71109640832,11.4683828455,0.955254094936,4464,60948.95
99,12.2583783784,DYSART,4.10162162162,13.2212145749,0.904581707543,426,4898.46
100,12.3272164948,Des Moines,4.11082474227,17.4896433319,0.563194742769,492,3157.93
101,12.5542622951,Dubuque,4.18639344262,22.9884015595,0.913500365123,1227,14151.66
102,15.0680067568,EAGLE GROVE,5.0360472973,11.6698806639,0.99511943898,2706,38040.31
103,12.2240540541,EARLHAM,4.08216216216,10.8995233756,0.941593416601,279,3110.07
104,11.3822580645,EARLY,3.82193548387,12.141809291,0.914000990204,288,2979.6
105,16.0265625,EDDYVILLE,5.360625,14.2185778578,0.811370707787,296,3949.21
106,13.5218604651,EDGEWOOD,4.51825581395,11.5107471264,0.842435627804,454,6008.61
107,13.34,ELDON,4.44820512821,13.4710344828,0.625966701607,346,3515.94
108,13.3859493671,ELDORA,4.47085443038,10.8095872558,0.983083149009,2632,33425.73
109,14.4896387283,ELDRIDGE,4.84319364162,13.1887462296,0.520427837397,4673,54349.9
110,13.8709090909,ELKADER,4.65239669421,11.3447046295,0.92502338555,742,9481.11
111,11.4485869565,ELLSWORTH,3.84619565217,11.7090685074,0.950395478473,635,7412.66
112,17.5320833333,ELMA,5.85895833333,13.1512912867,0.919539950225,505,8580.56
113,12.3346511628,ELY,4.1423255814,13.5566551922,0.664580371042,440,4725.85
114,15.6149787234,EMMETSBURG,5.21676595745,13.1905481272,0.767078717871,4424,61557.65
115,14.9689896373,ESTHERVILLE,5.00120466321,12.3022263726,0.922850506846,4957,65606.42
116,12.6868672199,EVANSDALE,4.24066390041,13.0843729149,0.687520586572,4166,38828.4
117,15.0714285714,EVERLY,5.04285714286,11.0044635193,0.823027950263,50,641.01
118,11.8290909091,EXIRA,3.95590909091,10.8562436548,0.70841218981,330,3208.02
119,14.4847674419,FAIRBANK,4.85290697674,11.1751982379,0.712916645125,427,5073.54
120,9.7475,FAIRFAX,3.25055555556,12.8813204509,0.854659095792,439,3999.65
121,16.3250557621,FAIRFIELD,5.44965303594,15.1511940659,0.806470885716,7643,104212.64
122,9.23793103448,FARLEY,3.08103448276,10.3094610778,0.805226146123,312,2582.52
123,11.479375,FARMINGTON,3.8284375,14.333919825,0.917594490377,276,3014.28
124,14.0865217391,FAYETTE,4.70927536232,13.668198618,0.725354168729,1059,12758.58
125,15.5081060606,FLOYD,5.18446969697,15.3162557561,0.901168311338,1394,21420.09
126,14.595,FONDA,4.86666666667,15.7409090909,0.897240361948,168,2077.8
127,19.9624193548,FONTANELLE,6.65580645161,13.8338998836,0.678006210434,527,8912.49
128,15.4201346801,FOREST CITY,5.15094276094,11.9432011014,0.984111058606,5469,70874.18
129,15.465125,FORT ATKINSON,5.159875,12.7836617367,0.857497715978,856,13475.13
130,14.8399427995,FORT DODGE,4.95972745626,13.1806619232,0.915394586295,35469,463841.86
131,14.3526753435,FORT MADISON,4.79535068691,13.7365523871,0.763313287287,10959,133755.97
132,13.0028205128,FREDERICKSBURG,4.34743589744,10.4784549356,0.922124622527,423,5493.33
133,13.3935795455,GARNER,4.48590909091,10.2758061534,0.581565622874,1865,19454.67
134,14.6154166667,GEORGE,4.88808333333,14.1353861713,0.841579927187,375,5311.23
135,11.76,GILBERTVILLE,3.92166666667,17.2569856054,1.0,33,407.61
136,8.878125,GILMORE CITY,2.96125,9.09538461538,0.817288824203,234,1773.6
137,11.5622972973,GLADBROOK,3.86135135135,10.6530412371,0.867537144499,365,4133.38
138,14.1198873239,GLENWOOD,4.718,12.2491240613,0.48084400631,3439,39749.51
139,12.5554716981,GLIDDEN,4.19433962264,14.8852392087,0.829825668072,337,4010.53
140,8.772,GOLDFIELD,2.95666666667,9.55960099751,0.578977078394,312,2300.04
141,15.7940909091,GOWRIE,5.27348484848,13.7086933752,0.687317432611,959,12564.84
142,13.6943298969,GRAETTINGER,4.56979381443,11.2494672489,0.783354087942,530,6440.32
143,13.2296428571,GRAND JUNCTION,4.42928571429,11.3952923977,0.571270223049,386,3897.19
